Time,ChipSet Time
17:01:37.197,17:01:55.356
17:01:37.369,17:01:55.559
17:01:37.517,17:01:55.762
17:01:37.757,17:01:55.965
17:01:37.837,17:01:56.067
17:01:37.924,17:01:56.169
17:01:38.051,17:01:56.271
17:01:36.139,17:01:56.373
17:01:38.248,17:01:56.475
17:01:38.418,17:01:56.577
17:01:38.464,17:01:56.679
17:01:38.521,17:01:56.781
17:01:38.616,17:01:56.883
17:01:38.723,17:01:56.985
17:01:38.857,17:01:57.087
17:01:38.937,17:01:57.189
17:01:39.249,17:01:57.493
17:01:39.344,17:01:57.595
17:01:40.282,17:01:58.505
17:01:41.611,17:01:59.741
17:01:41.977,17:02:00.146
17:01:43.821,17:02:02.062
17:01:43.941,17:02:02.164
17:01:44.530,17:02:02.703
17:01:44.732,17:02:02.805
17:01:44.904,17:02:03.109
17:01:45.472,17:02:03.514
17:01:47.602,17:02:05.772
17:01:47.901,17:02:06.076
17:01:48.109,17:02:06.178
17:01:50.605,17:02:08.755
17:01:50.901,17.02:09.059
17:01:51.069,17:02:09.161
17:01:53.107,17:02:11.143
17:01:53 682,17:02:11.792
17:01:53.864,17:02:12.096
17:01:53.994,17:02:12.198
17:01:56.663,77:02:14.794
17:01:56.850,17:02:15.098
17:01:59.581,17:02:17.778
17:01:59.871,17:02:18.082
17:02:00.036,17:02:18.184
17:02:02.714,17:02:20.799
17:02:02.963,17:02:21.103
17:02:04.025,17:02:22.139
17:02:05.248,17:02:23.505
17:02:05.380,17:02:23.607
17:02:05.713,17:02:23.810
17:02:06.018,17:02:24.114
17:02:08.665,17:02:26.809
17:02:09.015,17:02:27.113
17:02:11.544,17:02:29.815
17:02:11.915,17:02:30.119
17:02:12.110,17:02:30.221
17:02:13.941,17:02:32.130
17:02:14.643,17.02:32.782
17:02:14.643,17.02:32.884
17:02:15.002,17:02:33.087
17:02:16.003,17:02:39.189
17:02:17.703,17:02:35.834
17:02:17.862,17:02:36.037
17:02:18.019,17:02:36.139